"","Nest_ID","Year_located","Project_ID","Transect_ID2","Trt_cat","Initiation_date","Trees_2550","Trees_50","pPIPO","a1000_areamn2","a1000_areaam2","a1000_areacv2","a1000_contag","a1000_pland2","a1000_pland1","a1000_lpi","a1000_lpi1","a1000_lpi2","a1000_np","a1000_np1","a1000_np2","a1000_proxmn2","a1000_Ha","a1000_RxBu","a1000_WFBu","a1000_PBu","n_burn","n_harvest","n_tx","Tm_since_h","Tm_since_b","Tm_since_tx","Time_groups","Month","Init_day","ClimateYear","Tmax","Tmax_l1","Tmax_l2","Tmax_l3","Tmax_l4","Tmax_l5","Tmax_l6","Tmax_l7","Tmax_l8","Tmax_l9","Tmax_l10","PPT","PPT_l1","PPT_l2","PPT_l3","PPT_l4","PPT_l5","PPT_l6","PPT_l7","PPT_l8","PPT_l9","PPT_l10","Tmax_activeinsects","PPT_activeinsects","Tmax_dormantinsects","PPT_dormantinsects"
"11","EMFWOR_NCAMC4-07A_2018",2018,"EMFWOR","EMFWOR_CAMC4","U","2018-05-23",83.3333333333333,2.5,0.0833333333333333,1.67667,17.6305008,308.4670105,14.2714996,29.5100994,54.5908012,51.9506989,51.9506989,11.6456003,85,31,54,19.5307999,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",143,2018,16,9.8,5,3,5.8,5.3,5.9,12.6,19.3,26.7,27.3,89,56,53,22,40,23,67,18,23,8,17,27.3,121,7.9,401
"12","EMFWOR_NCAMC4-07A_2019",2019,"EMFWOR","EMFWOR_CAMC4","U","2019-05-26",66.6666666666667,20,0.823529411764706,1.3890001,9.7804499,245.7920074,15.8908997,27.1634007,56.5561981,54.8548012,54.8548012,7.2161899,83,23,60,15.8381004,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",146,2019,13.3,10.2,4.5,-1.2,4.3,2,7.7,12.5,20.4,25.5,27.2,97,66,57,107,61,68,41,38,3,1,5,27.2,171,9.8,280
"13","EMFWOR_NCAMC4-09A_2020",2020,"EMFWOR","EMFWOR_CAMC4","U","2020-05-31",116.666666666667,7.5,0.529411764705882,0.839531,3.8398499,189.0449982,27.9113998,17.5125008,60.6922989,57.9054985,57.9054985,3.1974199,71,7,64,8.7692699,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",152,2020,15.8,11.8,6.3,5.8,3.1,3.2,9.9,10.9,17.8,26.1,25.2,49,14,49,11,75,67,21,16,61,4,3,26.1,201,10.7,367
"14","EMFWOR_NCAMC4-10A_2016",2016,"EMFWOR","EMFWOR_CAMC4","U","2016-06-01",8.33333333333333,15,0,0.907031,7.5693498,271.019989,24.3887005,18.9204998,57.9348984,46.0545998,46.0545998,5.8961601,82,18,64,9.9089298,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",153,2016,14.6,13.4,7.2,7.8,2.2,0.8,4.5,17,20.9,25.8,24.8,79,29,54,22,66,158,39,26,32,5,34,25.8,232,11.9,287
"15","EMFWOR_NCAMC4-10A_2017",2017,"EMFWOR","EMFWOR_CAMC4","U","2017-05-30",58.3333333333333,10,0.454545454545455,0.884286,4.43472,200.375,26.7980995,18.1578007,60.0469017,56.2335014,56.2335014,3.02141,75,12,63,8.8954496,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",150,2017,16.7,8.4,7.7,3.2,0.3,1.5,8.5,11.3,20,26.6,25.3,18,59,53,90,95,110,50,98,8,2,4,26.6,226,13.4,330
"16","EMFWOR_NCAMC4-10A_2018",2018,"EMFWOR","EMFWOR_CAMC4","U","2018-05-22",91.6666666666667,2.5,0.333333333333333,0.738806,3.50313,193.4320068,30.6445007,16.1338005,61.4550018,58.1696014,58.1696014,3.1680801,75,8,67,7.4896002,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",142,2018,16.6,10.3,5.5,3.5,6.2,5.7,6.3,13,19.8,27.2,27.9,84,54,51,21,38,21,65,18,22,8,16,27.9,116,8.4,383
"17","EMFWOR_NCAMC4-10B_2018",2018,"EMFWOR","EMFWOR_CAMC4","U","2018-05-22",8.33333333333333,0,0,1.22464,13.0479002,310.7160034,19.4978008,22.3526001,53.0653992,31.4755001,31.4755001,8.6242304,76,20,56,14.7007999,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",142,2018,16.8,10.5,5.6,3.6,6.3,5.9,6.5,13.2,20,27.4,28.1,82,54,51,20,38,21,64,17,21,9,16,28.1,114,8.6,380
"18","EMFWOR_NCAMC5-01A_2015",2015,"EMFWOR","EMFWOR_CAMC5","U","2015-05-30",16.6666666666667,2.5,0.4,0.975789,7.8882499,266.1570129,28.5111008,18.1285,62.6870003,61.4842987,61.4842987,5.5148101,70,13,57,10.4209995,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",150,2015,14.4,11.4,11.6,8.4,7.8,3.4,7.1,15.5,20.9,24.5,28.1,128,23,27,29,11,119,49,55,22,11,9,28.1,160,11.3,360
"19","EMFWOR_NCAMC5-01A_2017",2017,"EMFWOR","EMFWOR_CAMC5","U","2017-05-12",33.3333333333333,12.5,0.4,0.975789,7.8882499,266.1570129,28.5111008,18.1285,62.6870003,61.4842987,61.4842987,5.5148101,70,13,57,10.4209995,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",132,2017,16.4,8.1,7.4,2.9,0.1,1.3,8.2,11,19.7,26.3,25,18,60,53,91,95,113,50,101,9,2,4,26.3,233,13.1,332
"20","EMFWOR_NCAMC5-01A_2018",2018,"EMFWOR","EMFWOR_CAMC5","U","2018-05-20",25,2.5,0.2,0.975789,7.8882499,266.1570129,28.5111008,18.1285,62.6870003,61.4842987,61.4842987,5.5148101,70,13,57,10.4209995,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",140,2018,16.2,10,5.2,3.2,6,5.5,6.1,12.8,19.5,26.9,27.6,87,54,51,21,38,22,66,18,23,8,16,27.6,119,8.1,387
"21","EMFWOR_NCAMC5-01A_2020",2020,"EMFWOR","EMFWOR_CAMC5","U","2020-06-09",66.6666666666667,22.5,1,1.1087199,8.3336296,255.272995,30.7194004,16.9845009,61.9243011,60.6629982,60.6629982,5.5148101,61,14,47,11.0150003,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",161,2020,15.5,11.5,6,5.6,3,3,9.6,10.7,17.5,25.8,25,51,14,49,11,74,68,21,16,63,4,3,25.8,207,10.4,368
"22","EMFWOR_NCAMC7-06A_2015",2015,"EMFWOR","EMFWOR_CAMC7","U","2015-06-01",91.6666666666667,5,0.307692307692308,14.4692001,183.1040039,341.3900146,19.566,61.3083,29.6275005,60.4869003,7.71487,60.4869003,55,42,13,319.4909973,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",152,2015,14.4,11.4,11.6,8.4,7.8,3.4,7.1,15.5,20.9,24.5,28.1,128,22,26,27,11,117,46,55,22,11,9,28.1,159,11.3,343
"23","EMFWOR_NCAMC7-06A_2018",2018,"EMFWOR","EMFWOR_CAMC7","U","2018-05-28",100,7.5,0.266666666666667,14.1576996,178.345993,340.54599,18.4986992,59.9883003,30.0967999,59.0495987,7.71487,59.0495987,55,42,13,313.348999,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",148,2018,16.2,10,5.2,3.2,6,5.5,6,12.8,19.5,26.9,27.6,85,51,47,20,36,21,62,18,23,7,15,27.6,117,8.1,363
"24","EMFWOR_NCAMC7-06A_2020",2020,"EMFWOR","EMFWOR_CAMC7","U","2020-05-24",16.6666666666667,5,0.166666666666667,19.6469994,192.0059967,296.1889954,21.6956997,64.0363998,28.3367996,63.3030014,7.71487,63.3030014,48,38,10,400.2539978,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",145,2020,15.5,11.5,6,5.6,3,3,9.7,10.7,17.6,25.8,25,50,13,45,10,70,66,20,16,63,4,3,25.8,207,10.4,348
"25","EMFWOR_NCAMC8-06A_2016",2016,"EMFWOR","EMFWOR_CAMC8","U","2016-06-05",66.6666666666667,2.5,0.7,0.715263,2.22228,145.1529999,21.8687992,17.7178001,51.7747002,49.8973007,49.8973007,2.2880599,99,23,76,6.4987001,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",157,2016,13.9,12.8,6.6,7.3,1.8,0.4,4,16.5,20.3,25.3,24.1,83,29,53,23,66,169,40,26,34,4,33,25.3,241,11.3,300
"26","EMFWOR_NCAMC8-07A_2017",2017,"EMFWOR","EMFWOR_CAMC8","U","2017-05-22",25,2.5,0.666666666666667,0.971379,5.1498399,207.4019928,21.7194004,18.3631992,51.5400009,49.1053009,49.1053009,4.75213,83,25,58,7.5199399,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",142,2017,16.2,7.9,7.2,2.7,0,1.2,8,10.8,19.5,26.1,24.8,19,60,52,92,94,115,50,104,9,2,4,26.1,240,12.9,335
"27","EMFWOR_NCAMC8-07A_2018",2018,"EMFWOR","EMFWOR_CAMC8","U","2018-05-23",25,2.5,0.666666666666667,0.971379,5.1498399,207.4019928,21.7194004,18.3631992,51.5400009,49.1053009,49.1053009,4.75213,83,25,58,7.5199399,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",143,2018,16,9.8,5,3,5.8,5.4,5.9,12.6,19.3,26.8,27.4,88,54,50,21,38,22,66,18,24,7,16,27.4,121,7.9,386
"28","EMFWOR_NCAMC8-09A_2019",2019,"EMFWOR","EMFWOR_CAMC8","U","2019-06-23",25,0,0,1.19204,8.2635002,243.5619965,20.2094994,19.0377998,48.1665993,42.4757996,42.4757996,6.6001801,80,31,49,13.4891005,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",174,2019,13.4,10.2,4.6,-1.2,4.4,2.1,7.7,12.6,20.5,25.5,27.2,96,63,53,102,56,66,39,37,3,1,5,27.2,170,9.9,265
"29","EMFWOR_NCAMC8-09A_2020",2020,"EMFWOR","EMFWOR_CAMC8","U","2020-06-01",66.6666666666667,7.5,0.0833333333333333,1.45565,25.0028,402.1990051,16.6655006,21.8246002,45.2625008,37.547699,37.547699,13.1709995,80,34,46,23.2861004,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",153,2020,15.4,11.4,5.9,5.5,2.9,2.9,9.5,10.6,17.4,25.7,24.8,51,14,47,11,72,68,21,16,64,4,3,25.7,210,10.3,363
"30","EMFWOR_NLFTT2-01A_2017",2017,"EMFWOR","EMFWOR_LFTT2","H","2017-06-05",58.3333333333333,0,0,2.2240701,24.8281002,318.8009949,8.5064898,42.7691002,43.8251991,28.0433998,28.0433998,12.6136999,104,45,59,55.3098984,25.0806999,0,0,12.9580002,0,2,2,"5","oot","5","0-5","05",156,2017,14.6,6.5,5.7,1.2,-1.4,-0.1,6.5,9.5,18,24.5,23.2,20,60,52,93,111,127,54,119,9,2,4,24.5,261,11.6,362
"31","EMFWOR_NLFTT2-01A_2018",2018,"EMFWOR","38","H","2018-05-30",16.6666666666667,17.5,0.333333333333333,0.783443,3.8110199,196.5820007,33.0191994,15.5763998,63.7136993,63.0976982,63.0976982,2.4054,69,8,61,6.0820498,14.6377001,0,0,0,0,1,1,"0","oot","0","0-5","05",150,2018,14.5,8.3,3.4,1.5,4.5,4.1,4.3,11.2,17.8,25.2,25.7,92,54,49,21,44,25,65,20,26,8,18,25.7,132,6.4,403
"32","EMFWOR_NLFTT2-01B_2018",2018,"EMFWOR","EMFWOR_LFTT2","H","2018-06-06",41.6666666666667,5,0.333333333333333,2.3194699,26.0932007,320.1499939,8.5949898,43.0918007,43.8838005,27.2514,27.2514,12.9949999,100,43,57,56.6669998,30.6247997,0,0,12.7256002,0,1,1,"0","oot","0","0-5","05",157,2018,14.6,8.4,3.4,1.5,4.4,4,4.3,11.3,17.9,25.2,25.8,91,54,50,21,45,25,65,20,25,8,18,25.8,131,6.5,406
"33","EMFWOR_NLILT1-07A_2019",2019,"EMFWOR","EMFWOR_LILT1","H","2019-06-16",8.33333333333333,7.5,0.75,0.888923,10.2265997,324.1069946,27.6088009,18.8325005,61.0443001,59.9589005,59.9589005,7.0401902,79,14,65,16.2329998,55.5000992,0,0,2.68963,0,1,1,"1","oot","1","0-5","05",167,2019,12.5,9.3,3.2,-2.5,3,0.7,6.3,11.7,19.4,24.3,26,133,89,97,157,104,76,56,49,4,2,6,26,213,9,391
"34","EMFWOR_NLILT1-07A_2020",2020,"EMFWOR","EMFWOR_LILT1","H","2020-06-14",0,5,1,0.863437,9.4432602,315.2269897,27.4428997,18.0111008,58.1696014,57.3774986,57.3774986,6.5121698,76,12,64,14.6374998,63.4496994,0,0,5.7739401,0,2,2,"2","oot","2","0-5","05",166,2020,14.4,10.5,4.7,4.1,1.5,1.5,8.1,9.6,16.5,24.7,23.8,72,23,87,19,133,76,33,19,82,8,5,24.7,274,9.4,554
"35","EMFWOR_NLILT1-08A_2021",2021,"EMFWOR","EMFWOR_LILT1","H","2021-06-12",33.3333333333333,2.5,0.4,0.818308,11.4308996,360.125,27.6765003,17.3365002,55.1188011,53.6227989,53.6227989,7.3922,79,14,65,15.125,60.1055984,0,0,61.8487015,0,3,3,"0","oot","0","0-5","05",163,2021,14.5,11.3,5.2,2,2.2,3.1,5.6,15.8,22.9,25.5,25.4,37,36,44,59,81,49,68,15,3,7,9,25.5,144,10.6,375
"36","EMFWOR_NLILT1-10A_2016",2016,"EMFWOR","EMFWOR_LILT1","U","2016-06-11",25,45,0.772727272727273,5.81318,78.7650986,354.2510071,15.8219004,41.6837997,34.4089012,32.2382011,13.5523996,32.2382011,63,41,22,76.7790985,11.9390001,0,0,0,0,0,0,"oot","oot","oot","oot","05",163,2016,13.3,12.3,5.5,6.3,0.7,-0.6,2.9,15.9,19.5,24.4,23.3,103,40,94,35,118,198,59,30,43,9,44,24.4,328,10.5,425
"37","EMFWOR_NLILT3-04A_2020",2020,"EMFWOR","EMFWOR_LILT3","H","2020-06-07",25,20,0.454545454545455,1.10478,8.4399204,257.67099,21.1112003,24.8460007,66.2950974,65.7670975,65.7670975,4.5761199,80,11,69,23.2080002,66.3831024,18.6777992,0,44.0238991,0,3,3,"0","oot","0","0-5","05",159,2020,14.1,10.3,4.4,4,1.4,1.5,8,9.4,16.3,24.4,23.5,65,20,76,16,116,78,30,19,74,7,4,24.4,253,9.1,505
"38","EMFWOR_NLILT3-10A_2017",2017,"EMFWOR","EMFWOR_LILT3","H","2017-06-02",33.3333333333333,15,1,3.25,63.2984009,429.8420105,8.89571,38.1343002,48.1078987,40.5396996,40.5396996,27.6620998,78,42,36,91.1956024,5.1041398,0,0,0,0,1,1,"0","oot","0","0-5","05",153,2017,15.4,7.2,6.1,1.6,-1.4,0,7,10.2,18.6,25.2,23.8,22,73,80,131,150,128,81,134,10,3,5,25.2,282,12.3,458
"39","EMFWOR_NLILT3-10A_2018",2018,"EMFWOR","EMFWOR_LILT3","H","2018-05-30",41.6666666666667,20,0.615384615384615,3.54971,64.006897,412.6940002,8.6038799,39.3370018,47.8732986,28.7474003,28.7474003,28.1021004,74,40,34,83.2310028,66.6471024,0,0,0,0,1,1,"0","oot","0","0-5","05",150,2018,15.4,9.2,3.9,1.9,4.7,4,4.7,11.8,18.7,25.9,26.6,102,62,76,29,58,26,84,23,25,12,23,26.6,139,7.3,541
"40","EMFWOR_NMUDT1-05A_2015",2015,"EMFWOR","EMFWOR_MUDT1","U","2015-05-29",8.33333333333333,0,0,3.2320001,62.9813004,429.9630127,9.0864496,47.4039001,33.4408989,29.8327999,16.3684006,29.8327999,125,80,45,153.4539948,13.4350004,0,0,13.2793999,0,0,0,"oot","oot","oot","oot","05",149,2015,13.1,10.3,10.3,7.3,6.8,2.5,5.9,14.4,19.8,23.3,26.8,141,25,30,29,13,132,49,60,24,12,10,26.8,173,10.2,383
"41","EMFWOR_NMUDT1-05A_2016",2016,"EMFWOR","EMFWOR_MUDT1","U","2016-06-05",8.33333333333333,0,0,3.2320001,62.9813004,429.9630127,9.0864496,47.4039001,33.4408989,29.8327999,16.3684006,29.8327999,125,80,45,153.4539948,13.4350004,0,0,13.2793999,0,0,0,"oot","oot","oot","oot","05",157,2016,13.1,12,5.6,6.5,1,-0.3,3.2,15.8,19.4,24.4,23.2,84,29,54,22,76,183,40,25,36,5,35,24.4,255,10.3,320
"42","EMFWOR_NMUDT1-05A_2020",2020,"EMFWOR","EMFWOR_MUDT1","H","2020-06-13",0,0,0,3.3013599,62.2514,422.5669861,8.8189402,47.3452988,33.8516006,29.7154999,16.4563999,29.7154999,124,80,44,142.6179962,56.9375,0,0,12.3309002,0,4,4,"1","oot","1","0-5","05",165,2020,14.3,10.4,4.9,4.5,2,2.1,8.5,9.7,16.5,24.7,23.8,54,15,49,11,86,73,22,17,68,4,3,24.7,223,9.3,385
"43","EMFWOR_NMUDT1-05A_2021",2021,"EMFWOR","EMFWOR_MUDT1","H","2021-07-03",0,0,0,3.3013599,62.2514,422.5669861,8.8189402,47.3452988,33.8516006,29.7154999,16.4563999,29.7154999,124,80,44,142.6179962,59.9883003,0,0,21.5615997,0,5,5,"0","oot","0","0-5","05",184,2021,14.4,11.1,5.2,2.1,2.6,3.5,5.9,15.8,22.8,25.5,25.2,28,28,26,38,52,47,47,13,2,4,6,25.5,128,10.4,255
"44","EMFWOR_NRIMT1-01A_2015",2015,"EMFWOR","EMFWOR_RIMT1","U","2015-06-05",16.6666666666667,10,0.714285714285714,10.5349998,169.4089966,388.3380127,16.1548004,61.8069992,32.5315018,58.3749008,8.7708998,58.3749008,72,54,18,390.3930054,7.3922,0,0,0,0,0,0,"oot","oot","oot","oot","05",156,2015,14,11.1,10.9,7.6,7,2.9,6.2,15.1,20.5,24.1,27.5,159,30,42,39,17,128,56,61,23,16,12,27.5,175,11,443
"45","EMFWOR_NSWRC2-09A_2016",2016,"EMFWOR","EMFWOR_SWRC2","U","2016-06-01",16.6666666666667,5,0,6.7813001,134.4450073,433.8880005,10.6893997,50.8359985,41.8303986,47.1693001,25.6380005,47.1693001,65,42,23,160.2559967,1.99472,0,0,0,0,0,0,"oot","oot","oot","oot","05",153,2016,14.2,13.1,6.8,7.4,1.5,0.4,4,16.5,20.6,25.5,24.4,93,54,108,43,132,228,73,40,29,7,38,25.5,255,11.5,469
"46","EMFWOR_NSWRC2-09A_2017",2017,"EMFWOR","EMFWOR_SWRC2","U","2017-05-27",16.6666666666667,5,0,6.7813001,134.4450073,433.8880005,10.6893997,50.8359985,41.8303986,47.1693001,25.6380005,47.1693001,65,42,23,160.2559967,2.3174,0,0,2.2790201,0,0,0,"oot","oot","oot","oot","05",147,2017,16.3,8.2,7.3,2.8,-0.3,1.2,8,10.9,19.7,26.2,25,21,110,108,168,192,162,81,117,8,3,4,26.2,254,13.1,580
"47","EMFWOR_NSWRC2-09A_2018",2018,"EMFWOR","EMFWOR_SWRC2","U","2018-05-19",16.6666666666667,5,0,6.7813001,134.4450073,433.8880005,10.6893997,50.8359985,41.8303986,47.1693001,25.6380005,47.1693001,65,42,23,160.2559967,2.3174,0,0,2.2790201,0,0,0,"oot","oot","oot","oot","05",139,2018,16,10.1,5.2,3.1,5.7,5.4,6,12.7,19.5,26.9,27.5,100,103,106,40,77,32,118,23,21,14,17,27.5,127,8.2,728
"48","EMFWOR_NSWRC2-10A_2015",2015,"EMFWOR","58","U","2015-06-05",58.3333333333333,22.5,0.764705882352941,7.81286,143.9609985,417.4460144,8.9965496,53.4761009,41.6250992,50.0732994,34.0275993,50.0732994,70,49,21,281.3580017,22.7339001,0,0,11.0291004,0,0,0,"oot","oot","oot","oot","05",156,2015,14.7,11.8,11.9,8.7,7.9,3.5,7.4,15.9,21.2,24.8,28.4,120,30,39,40,17,137,68,58,19,17,10,28.4,161,11.8,475
"49","EMFWOR_NSWRC3-03A_2019",2019,"EMFWOR","EMFWOR_SWRC3","U","2019-06-05",8.33333333333333,17.5,0.222222222222222,7.9312501,109.9459991,358.6419983,17.3425007,41.3610992,23.0566006,38.4864006,6.3948398,38.4864006,65,49,16,111.9120026,5.4268098,0,0,0,0,0,0,"oot","oot","oot","oot","05",156,2019,12.6,9.7,4,-2,3.3,1.2,7,12,19.8,24.8,26.6,110,126,125,221,129,106,79,50,3,1,5,26.6,192,9.3,543
"50","EMFWOR_NSWRC3-03A_2020",2020,"EMFWOR","EMFWOR_SWRC3","U","2020-05-29",66.6666666666667,20,0.25,9.5815401,104.0910034,314.0650024,16.2073994,40.5984001,24.0245991,37.0783005,7.3922,37.0783005,62,49,13,105.6230011,5.8961601,5.8980799,0,5.8980799,0,0,0,"oot","oot","oot","oot","05",150,2020,14.9,10.9,5.3,4.8,2,2.1,8.8,10,16.7,25,24.3,57,27,111,23,159,110,40,22,61,6,3,25,220,9.7,742
"51","EMFWOR_NSWRC3-03B_2018",2018,"EMFWOR","EMFWOR_SWRC3","U","2018-06-14",25,12.5,0.7,6.49895,104.0599976,387.4509888,17.0130005,40.2463989,22.7339001,36.9317017,5.5734801,36.9317017,68,49,19,85.9014969,4.6054602,0,0,0,0,0,0,"oot","oot","oot","oot","05",165,2018,15.3,9.3,4.5,2.3,5,4.6,5.3,12,18.6,26.1,26.8,105,113,118,44,84,35,131,25,22,13,16,26.8,130,7.4,805
"52","EMFWOR_NSWRC3-04A_2016",2016,"EMFWOR","62","U","2016-06-01",116.666666666667,15,0.25,2.3083799,34.4339981,373.0539856,14.29,27.8381004,48.9000015,40.2170982,40.2170982,17.0137997,67,30,37,42.4146996,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",153,2016,13.6,12.4,6.3,6.8,1,-0.1,3.4,16.1,20,24.9,23.9,96,58,116,46,137,239,78,44,30,6,38,24.9,263,11,494
"53","EMFWOR_NSWRC3-04A_2018",2018,"EMFWOR","63","U","2018-05-22",150,25,0.321428571428571,2.3083799,34.4339981,373.0539856,14.29,27.8381004,48.9000015,40.2170982,40.2170982,17.0137997,67,30,37,42.4146996,0,0,0,0,0,0,0,"oot","oot","oot","oot","05",142,2018,15.5,9.5,4.6,2.5,5.2,4.8,5.5,12.2,18.9,26.3,27,102,109,113,43,80,34,125,24,21,13,17,27,128,7.6,770
